Year;Month;Day;Date;Max Temp;Min Temp
2020;5;7;7/05/2020;20.7;3.2
2020;5;8;8/05/2020;20.3;8.8
2020;5;9;9/05/2020;20.4;7.8
2020;5;10;10/05/2020;8.6;6
2020;5;11;11/05/2020;10.7;2.6
2020;5;12;12/05/2020;14.7;3.1
2020;5;13;13/05/2020;11.5;0.2
2020;5;14;14/05/2020;16.5;1.6
2020;5;15;15/05/2020;16.1;6.3
2020;5;16;16/05/2020;16.1;6.7
2020;5;17;17/05/2020;15.7;9.4
2020;5;18;18/05/2020;15.9;11.2
2020;5;19;19/05/2020;19;11.5
2020;5;20;20/05/2020;24.9;10.2
2020;5;21;21/05/2020;22;8.6
2020;5;22;22/05/2020;16.7;12.5
2020;5;23;23/05/2020;15.3;9.6
2020;5;24;24/05/2020;17.4;10
2020;5;25;25/05/2020;21.4;7.4
2020;5;26;26/05/2020;22.6;11.4
2020;5;27;27/05/2020;18.6;6.3
2020;5;28;28/05/2020;23.7;6
2020;5;29;29/05/2020;24;10.6
2020;5;30;30/05/2020;19.3;8.1
2020;5;31;31/05/2020;21.4;8.2
2020;6;1;1/06/2020;22;5.6
2020;6;2;2/06/2020;23.7;6.2
2020;6;3;3/06/2020;11.9;9.2
2020;6;4;4/06/2020;14.9;6.5
2020;6;5;5/06/2020;14.6;5.6
2020;6;6;6/06/2020;13.5;5.8
2020;6;7;7/06/2020;11.4;7.7
2020;6;8;8/06/2020;14.2;5.6
2020;6;9;9/06/2020;16.1;4.1
2020;6;10;10/06/2020;14;8.9
2020;6;11;11/06/2020;12.9;9.5
2020;6;12;12/06/2020;13.5;9.6
2020;6;13;13/06/2020;16.9;10.6
2020;6;14;14/06/2020;19.9;11.2
2020;6;15;15/06/2020;20.7;12.1
2020;6;16;16/06/2020;18.8;12.7
2020;6;17;17/06/2020;20.5;11.7
2020;6;18;18/06/2020;16.1;11
2020;6;19;19/06/2020;19.1;12
2020;6;20;20/06/2020;20.3;12.1
2020;6;21;21/06/2020;18.7;12.8
2020;6;22;22/06/2020;20.2;10.1
2020;6;23;23/06/2020;23.8;15.5
2020;6;24;24/06/2020;27.1;15.4
2020;6;25;25/06/2020;26.7;13.1
2020;6;26;26/06/2020;26.4;11
2020;6;27;27/06/2020;19.3;13.1
2020;6;28;28/06/2020;15.8;10.1
2020;6;29;29/06/2020;17.9;11.5
2020;6;30;30/06/2020;16.7;12.8
2020;7;1;1/07/2020;17.4;11.2
2020;7;2;2/07/2020;16.5;9.1
2020;7;3;3/07/2020;17.4;10.6
2020;7;4;4/07/2020;18.7;13.1
2020;7;5;5/07/2020;17.3;13.9
2020;7;6;6/07/2020;19.6;10.5
2020;7;7;7/07/2020;15;9.6
2020;7;8;8/07/2020;17.8;8
2020;7;9;9/07/2020;16.9;9.3
2020;7;10;10/07/2020;16.9;9
2020;7;11;11/07/2020;18.2;9.2
2020;7;12;12/07/2020;20.5;7.5
2020;7;13;13/07/2020;20.8;12.2
2020;7;14;14/07/2020;19.7;8.9
2020;7;15;15/07/2020;17.7;11.4
2020;7;16;16/07/2020;23.2;12.8
2020;7;17;17/07/2020;20.1;13.6
2020;7;18;18/07/2020;20.8;15.5
2020;7;19;19/07/2020;18.6;8.6
2020;7;20;20/07/2020;18.5;7.8
2020;7;21;21/07/2020;20;8.8
2020;7;22;22/07/2020;16.3;11
2020;7;23;23/07/2020;19.6;14.3
2020;7;24;24/07/2020;21.4;12.1
2020;7;25;25/07/2020;22;14.9
2020;7;26;26/07/2020;18.5;12.6
2020;7;27;27/07/2020;19.1;13.2
2020;7;28;28/07/2020;17.7;11.2
2020;7;29;29/07/2020;18.8;8.7
2020;7;30;30/07/2020;21.2;10.2
2020;7;31;31/07/2020;30.8;12.8
2020;8;1;1/08/2020;22.5;14.2
2020;8;2;2/08/2020;20.4;12.7
2020;8;3;3/08/2020;19.2;10.2
2020;8;4;4/08/2020;19.2;8.1
2020;8;5;5/08/2020;20.8;11.6
2020;8;6;6/08/2020;23.4;13.8
2020;8;7;7/08/2020;26;14.2
2020;8;8;8/08/2020;21.3;12.3
2020;8;9;9/08/2020;20.2;13.4
2020;8;10;10/08/2020;20.8;14.2
2020;8;11;11/08/2020;26.9;14
2020;8;12;12/08/2020;25.7;16
2020;8;13;13/08/2020;16.1;14.6
2020;8;14;14/08/2020;16.3;13.9
2020;8;15;15/08/2020;16.9;13.5
2020;8;16;16/08/2020;15.9;13.2
2020;8;17;17/08/2020;20.8;13.3
2020;8;18;18/08/2020;18.9;14.1
2020;8;19;19/08/2020;23.1;13.2
2020;8;20;20/08/2020;22.6;13.9
2020;8;21;21/08/2020;20.1;13.7
2020;8;22;22/08/2020;19.5;13.6
2020;8;23;23/08/2020;16.8;11
2020;8;24;24/08/2020;18.9;10.8
2020;8;25;25/08/2020;17.8;9.5
2020;8;26;26/08/2020;17.1;12.2
2020;8;27;27/08/2020;17.2;10.3
2020;8;28;28/08/2020;14;11
2020;8;29;29/08/2020;12.7;8.2
2020;8;30;30/08/2020;15.5;7.8
2020;8;31;31/08/2020;18.3;3.4
2020;9;1;1/09/2020;19.4;4.7
2020;9;2;2/09/2020;17.5;8.7
2020;9;3;3/09/2020;19.2;13
2020;9;4;4/09/2020;17;10.4
2020;9;5;5/09/2020;16.6;9.3
2020;9;6;6/09/2020;15.7;11
2020;9;7;7/09/2020;19.7;9.6
2020;9;8;8/09/2020;21;14.4
2020;9;9;9/09/2020;17.8;11.8
2020;9;10;10/09/2020;16.1;5.9
2020;9;11;11/09/2020;15.9;9.4
2020;9;12;12/09/2020;17.1;9.9
2020;9;13;13/09/2020;20.4;12.9
2020;9;14;14/09/2020;24;11.7
2020;9;15;15/09/2020;26.4;12
2020;9;16;16/09/2020;14;12.7
2020;9;17;17/09/2020;18.7;7.6
2020;9;18;18/09/2020;17.4;5.7
2020;9;19;19/09/2020;18.2;10.2
2020;9;20;20/09/2020;16.3;11.3
2020;9;21;21/09/2020;22.1;6.1
2020;9;22;22/09/2020;20;8.4
2020;9;23;23/09/2020;11;9.5
2020;9;24;24/09/2020;10.1;4.1
2020;9;25;25/09/2020;13.9;5.8
2020;9;26;26/09/2020;11.7;4.8
2020;9;27;27/09/2020;11.4;8
2020;9;28;28/09/2020;17.3;1.8
2020;9;29;29/09/2020;16.9;5.8
2020;9;30;30/09/2020;12.3;7.7
2020;10;1;1/10/2020;14.5;5.9
2020;10;2;2/10/2020;14;1.1
2020;10;3;3/10/2020;12.8;5.3
2020;10;4;4/10/2020;15;8.9
2020;10;5;5/10/2020;16.9;8.7
2020;10;6;6/10/2020;16.7;8
2020;10;7;7/10/2020;14.3;8.9
2020;10;8;8/10/2020;14.7;7.4
2020;10;9;9/10/2020;12.3;6.5
2020;10;10;10/10/2020;14.4;5.3
2020;10;11;11/10/2020;11.7;5.8
2020;10;12;12/10/2020;9.8;6.8
2020;10;13;13/10/2020;10.9;4.2
2020;10;14;14/10/2020;13.3;7.6
2020;10;15;15/10/2020;12.3;5.3
2020;10;16;16/10/2020;12.8;4.6
2020;10;17;17/10/2020;11.3;7
2020;10;18;18/10/2020;10.2;3.9
2020;10;19;19/10/2020;11.8;6.9
2020;10;20;20/10/2020;17.1;8.8
2020;10;21;21/10/2020;14.7;10.2
2020;10;22;22/10/2020;13.1;8.5
2020;10;23;23/10/2020;11.5;5.7
2020;10;24;24/10/2020;12.4;4.6
2020;10;25;25/10/2020;12;4.3
2020;10;26;26/10/2020;12.6;5
2020;10;27;27/10/2020;9.5;5.3
2020;10;28;28/10/2020;10.3;6.8
2020;10;29;29/10/2020;14.9;5.4
2020;10;30;30/10/2020;13.4;7.5
2020;10;31;31/10/2020;13.6;2.7
2020;11;1;1/11/2020;15.6;7.6
2020;11;2;2/11/2020;11.4;7.3
2020;11;3;3/11/2020;9.5;3.5
2020;11;4;4/11/2020;12.3;4.5
2020;11;5;5/11/2020;18.5;6.4
2020;11;6;6/11/2020;9;3.1
2020;11;7;7/11/2020;9.2;4
2020;11;8;8/11/2020;10.4;5.2
2020;11;9;9/11/2020;11.8;8.3
2020;11;10;10/11/2020;12.9;9.8
2020;11;11;11/11/2020;11.5;8
2020;11;12;12/11/2020;11.3;8.5
2020;11;13;13/11/2020;11.2;7.3
2020;11;14;14/11/2020;12.9;5.7
2020;11;15;15/11/2020;11;7.3
2020;11;16;16/11/2020;13.7;6
2020;11;17;17/11/2020;14.8;8.6
2020;11;18;18/11/2020;15.1;11.8
2020;11;19;19/11/2020;7.6;3.2
2020;11;20;20/11/2020;12;0.4
2020;11;21;21/11/2020;12.1;3.6
2020;11;22;22/11/2020;9.1;5.1
2020;11;23;23/11/2020;11.8;2.4
2020;11;24;24/11/2020;13.3;3.7
2020;11;25;25/11/2020;10;5.9
2020;11;26;26/11/2020;8;1.9
2020;11;27;27/11/2020;6.2;3.4
2020;11;28;28/11/2020;6.1;-2
2020;11;29;29/11/2020;8.6;-1.7
2020;11;30;30/11/2020;12;5.2
2020;12;1;1/12/2020;8.2;1.4
2020;12;2;2/12/2020;8.6;1.3
2020;12;3;3/12/2020;3.8;2.3
2020;12;4;4/12/2020;6.4;0.9
2020;12;5;5/12/2020;6.7;1
2020;12;6;6/12/2020;;1.2
2020;12;7;7/12/2020;5;
2020;12;8;8/12/2020;5.4;2.2
2020;12;9;9/12/2020;5.7;3.5
2020;12;10;10/12/2020;6;2.8
2020;12;11;11/12/2020;6.6;3.5
2020;12;12;12/12/2020;7.1;5.9
2020;12;13;13/12/2020;9;3
2020;12;14;14/12/2020;9.6;3.5
2020;12;15;15/12/2020;7.8;3.6
2020;12;16;16/12/2020;8.1;3.7
2020;12;17;17/12/2020;11.6;3.9
2020;12;18;18/12/2020;12.5;5.1
2020;12;19;19/12/2020;10;8.6
2020;12;20;20/12/2020;7.2;5.3
2020;12;21;21/12/2020;6.5;3.2
2020;12;22;22/12/2020;8;2.3
2020;12;23;23/12/2020;5.4;0.9
2020;12;24;24/12/2020;3.6;-0.2
2020;12;25;25/12/2020;7.5;-0.7
2020;12;26;26/12/2020;8;-0.6
2020;12;27;27/12/2020;4.7;2
2020;12;28;28/12/2020;2.5;-0.8
2020;12;29;29/12/2020;4.6;-2.4
2020;12;30;30/12/2020;4.5;-0.3
2020;12;31;31/12/2020;4.1;-2.2
